a;b;c;d;e
特番;2月12日;小沢真珠を土下座させろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年
特番;2月12日;眞鍋かをりにキスしてもらえ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年
特番;2月12日;及川奈央のブラジャーをもらえ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年
特番;2月12日;デヴィ夫人に10万円借りろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年
特番;2月12日;石田純一を泣かせろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年
特番;2月12日;KABA.ちゃんに水1.5Lを飲ませろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年
1;10月8日;小林恵美にキスしてもらえ;岡田圭右、小林恵美、レイザーラモンHG;2005年
1;10月8日;レイザーラモンHGを惚れさせろ（前編）;岡田圭右、小林恵美、レイザーラモンHG;2005年
2;10月15日;レイザーラモンHGを惚れさせろ（後編）;岡田圭右、今田耕司、レイザーラモンHG、大橋未歩;2005年
2;10月15日;大橋アナにキスしてもらえ;岡田圭右、今田耕司、レイザーラモンHG、大橋未歩;2005年
3;10月22日;みさきゆうの体を3ヶ所なめろ;出川哲朗、みさきゆう、ボビー・オロゴン;2005年
3;10月22日;ボビー・オロゴンを泣かせろ（前編）;出川哲朗、みさきゆう、ボビー・オロゴン;2005年
4;10月29日;ボビー・オロゴンを泣かせろ（後編）;出川哲朗、ボビー・オロゴン、蒼井そら;2005年
4;10月29日;蒼井そらに愛のあるキスをしてもらえ;出川哲朗、ボビー・オロゴン、蒼井そら;2005年
5;11月5日;ほしのあきの胸に顔を埋めろ;山崎邦正、出川哲朗、ほしのあき、徳光和夫;2005年
5;11月5日;徳光和夫に阪神のハッピを着させろ（前編）;山崎邦正、出川哲朗、ほしのあき、徳光和夫;2005年
6;11月12日;及川奈央のパンティーをもらえ;岡田圭右、出川哲朗、及川奈央、徳光和夫;2005年
6;11月12日;徳光和夫に阪神のハッピを着させろ（後編）;岡田圭右、出川哲朗、及川奈央、徳光和夫;2005年
7;11月19日;山上兄弟を寝かしつけろ;スピードワゴン、山崎邦正、山上兄弟、坂下千里子;2005年
7;11月19日;坂下千里子を泣かせろ;スピードワゴン、山崎邦正、山上兄弟、坂下千里子;2005年
8;11月25日;煩悩ガールズを3人辞めさせろ;スピードワゴン、煩悩ガールズ;2005年
9;12月3日;西川史子にキスしてもらえ;アンジャッシュ、スピードワゴン、西川史子、角田信朗;2005年
9;12月3日;角田信朗に3ヶ所ケリを入れろ（前編）;アンジャッシュ、スピードワゴン、西川史子、角田信朗;2005年
10;12月10日;くまきりあさ美にキスしてもらえ;アンジャッシュ、スピードワゴン、くまきりあさ美、角田信朗;2005年
10;12月10日;角田信朗に3ヶ所ケリを入れろ（後編）;アンジャッシュ、スピードワゴン、くまきりあさ美、角田信朗;2005年
11;12月16日;第1回神様対抗キス我慢選手権（前編）;バナナマン、みひろ;2005年
12;12月24日;第1回神様対抗キス我慢選手権（後編）;バナナマン、みひろ、かすみ果穂、東京03;2005年
12;12月24日;前代未聞の大トラブル 撮ったロケが流れない;バナナマン、みひろ、かすみ果穂、東京03;2005年
SP;1月5日;THE GODTONGUE カッコイイ列伝;遠藤憲一、半田健人、ハチミツ二郎（東京ダイナマイト）、小沢一敬（スピードワゴン）、バナナマン;2007年
SP;1月5日;小木博明の口喧嘩ドライブ;相澤仁美、岩佐真悠子;2007年
SP;1月5日;第2回キス我慢選手権リターンズ;バナナマン、みひろ、穂花、成松慶彦;2007年
1;4月12日;番組スタート祝いのキスを奪えるか!?;眞鍋かをり、蒼井そら、くまきりあさ美;2007年
2;4月19日;妹分オーディション 小木に服を売りつけろ!;柳原可奈子;2007年
3;4月26日;劇団ひとりvs品川祐 芸人小説家ナンバーワンはオレだ!;品川庄司;2007年
4;5月3日;第1回芸人マジ歌選手権;バナナマン、東京03、山田五郎、真矢、奈津子、亜希子、滝井礼乃;2007年
5;5月10日;第1回アイドルの恩返し;佐藤寛子、相澤仁美;2007年
6;5月17日;石原真理子と武勇伝を作れ!;石原真理子;2007年
7;5月31日;くまきりあさ美、矢作兼と最後のキス;くまきりあさ美;2007年
8;6月7日;エンジェルミッションのコーナー;柳原可奈子、バナナマン;2007年
8;6月7日;第2回アイドルの恩返し;相澤仁美;2007年
9;6月14日;ストレス発散させまSHOW;日村勇紀（バナナマン）、山本モナ;2007年
9;6月14日;小木博明の口喧嘩ドライブ;星野真里;2007年
10;6月21日;仲直りフレンドパーク;岩佐真悠子;2007年
