date;title.x;link;summary;publishdate;title.y;slug;bangumi;fpost
2020年12月30日よる６：３０から;アメトーーーーーーーーーーク年末５時間ＳＰ;https://www.tv-asahi.co.jp/ametalk/backnumber/1416/;"<font color=""#ff00ff""><span style=""font-size: 18px;""><b>①運動神経悪い芸人</b></span></font>＆サバンナ高橋＆フット後藤＆川田裕美＆麒麟・川島＆笑い飯・西田＆ナイツ塙＆東京03豊本＆ザブングル松尾＆ライス田所＆パーパー星野です＆BOYS AND MEN小林＆フルポン村上＆アンタッチャブル山崎　＆　倉科カナ＆<font color=""#ff00ff""><span style=""font-size: 18px;""><b>②さんまvsお笑い第七世代</b></span></font>＆明石家さんま＆霜降り明星＆宮下草薙・草薙＆EXIT＆かが屋・加賀＆納言・薄幸＆四千頭身・後藤＆ティモンディ高岸＆<b><span style=""font-size: 18px;""><font color=""#ff00ff"">③年末大売り出し！家電芸人</font></span></b>＆土田晃之＆劇団ひとり＆品川庄司・品川＆ユウキロック＆松橋周太呂＆かじがや卓哉＆<span style=""font-size: 18px;""><b><font color=""#ff00ff"">④アメトーーク大賞</font></b></span>＆サンドウィッチマン＆中川家＆ケンドーコバヤシ＆フットボールアワー後藤＆アンタッチャブル山崎＆アンジャッシュ渡部＆千鳥＆ティモンディ高岸＆アインシュタイン稲田＆納言・薄幸＆岡野陽一＆宮下草薙・草薙＆霜降り明星＆アンガールズ田中＆FUJIWARA藤本＆パンサー尾形＆広瀬アリス＆<span style=""font-size: 24px;""><b style=""""><font color=""#ff00ff"">12</font><font color=""#0000ff""><span style=""font-size: 18px;"">月</span></font><font color=""#ff00ff"">30</font><font color=""#0000ff""><span style=""font-size: 18px;"">日(月)</span><span style=""font-size: 18px;"">よる</span></font><font color=""#ff00ff"">6：30</font><font color=""#0000ff""><span style=""font-size: 18px;"">から</span></font></b></span>＆<font color=""#ff00ff""><span style=""font-size: 24px;""><b>アメトーーーーーーーーーーク！5時間SP</b></span></font>＆<font color=""#ff00ff""><span style=""font-size: 24px;""><b>お楽しみに！！</b></span></font>";2020-12-30;NA;NA;NA;NA
2020年12月26日;STAR WARS芸人;https://www.tv-asahi.co.jp/ametalk/backnumber/1432/;ナイツ土屋＆麒麟・川島＆キャイ～ン天野＆ドランクドラゴン塚地＆インパルス板倉＆霜降り明星せいや＆品川庄司・品川;2020-12-26;NA;NA;NA;NA
2020年11月19日;スニーカー芸人2020;https://www.tv-asahi.co.jp/ametalk/backnumber/1739/;"シソンヌ長谷川&amp;かまいたち山内&amp;ダイノジ大地&amp;マテンロウ・アントニー＆レイザーラモンRG&amp; EXITりんたろー。&amp;グッドウォーキン上田＆ケンドーコバヤシ";2020-11-19;NA;NA;NA;NA
2020年11月12日;意外と同期芸人;https://www.tv-asahi.co.jp/ametalk/backnumber/1730/;ハライチ／チョコレートプラネット／向井慧（パンサー）＆シソンヌ／すゑひろがりず／稲田直樹（アインシュタイン）＆徳井健太（平成ノブシコブシ）;2020-11-12;NA;NA;NA;NA
2020年11月5日;チョット弾けます ギター芸人２０２０;https://www.tv-asahi.co.jp/ametalk/backnumber/1720/;"フットボールアワー後藤&amp;狩野英孝&amp;霜降り明星・粗品&amp;野性爆弾くっきー
&amp;どぶろっく森&amp;松浦真也&amp;レイザーラモンＲＧ＆ケンドーコバヤシ&amp;生見愛瑠";2020-11-05;NA;NA;NA;NA
2020年10月23日よる8時から２時間SP！！;『嵐大好きおじさん』＆『ついついダラしなくなっちゃう芸人』;https://www.tv-asahi.co.jp/ametalk/backnumber/1710/;"<b><font color=""#ff00ff"">①嵐大好きおじさん
</font></b>＆博多大吉&amp;千鳥ノブ&amp;土田晃之&amp; FUJIWARA藤本
＆狩野英孝&amp;平成ノブシコブシ吉村&amp;ドランクドラゴン塚地＆博多華丸&amp;千鳥・大悟＆<b><font color=""#ff00ff"">②ついついダラしなくなっちゃう芸人
</font></b>＆ブラックマヨネーズ小杉&amp;渡辺直美&amp;千鳥・大悟&amp;アンガールズ田中
＆岡野陽一&amp;霜降り明星せいや&amp;宮下草薙・草薙＆麒麟・川島&amp;山本舞香＆<b>23日金曜よる8時から！！</b>＆<b><font color=""#ff00ff"">アメトーーーーク感謝
</font></b>＆<b><font color=""#ff00ff"">嵐大好きおじちゃんVS
</font></b>＆<b><font color=""#ff00ff"">‪ダラダラしやがれＳＰ</font></b>";2020-10-23;NA;NA;NA;NA
2020年10月22日よる１１：３５～;もっと売れたい芸人;https://www.tv-asahi.co.jp/ametalk/backnumber/1708/;"ニューヨーク&amp;GAG&amp;カラタチ&amp;滝音&amp;蛙亭&amp;ザ・マミィ＆FUJIWARA藤本&amp;ミキ亜生";2020-10-22;NA;NA;NA;NA
2020年10月15日;お肌よわよわ芸人;https://www.tv-asahi.co.jp/ametalk/backnumber/1706/;"今田耕司&amp; FUJIWARA藤本&amp;サバンナ高橋&amp;笑い飯・西田
＆パンクブーブー黒瀬&amp;狩野英孝&amp;すゑひろがりず三島";2020-10-15;NA;NA;NA;NA
2020年10月8日;兄弟でコンビ組んでる芸人;https://www.tv-asahi.co.jp/ametalk/backnumber/1698/;"千原兄弟&amp;中川家&amp;ミキ&amp;土佐兄弟&amp;ザ・たっち＆フットボールアワー後藤";2020-10-08;NA;NA;NA;NA
2020年10月6日ゴールデン３HSP;「踊りたくない芸人」「鉄道ファンクラブ」;https://www.tv-asahi.co.jp/ametalk/backnumber/1690/;"<b>①「踊りたくない芸人」
</b>＆千原ジュニア&amp;陣内智則&amp;千鳥・大悟&amp;麒麟・川島&amp;ナイツ塙＆すゑひろがりず三島＆ミルクボーイ内海＆三四郎・小宮＆カミナリまなぶ＆<b>②「鉄道ファンクラブ」
</b>＆中川家・礼二&amp;石原良純&amp;松井玲奈&amp;市川紗椰＆ダーリンハニー吉川&amp;ななめ45℃岡安&amp;徳永ゆうき＆南田裕介＆サバンナ高橋";2020-10-06;NA;NA;NA;NA
