a;b;c;d;e;publishdate;title;slug;bangumi;fpost;av;link
特番;2月12日;小沢真珠を土下座させろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
特番;2月12日;眞鍋かをりにキスしてもらえ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
特番;2月12日;及川奈央のブラジャーをもらえ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
特番;2月12日;デヴィ夫人に10万円借りろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
特番;2月12日;石田純一を泣かせろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
特番;2月12日;KABA.ちゃんに水1.5Lを飲ませろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
1;10月8日;小林恵美にキスしてもらえ;岡田圭右、小林恵美、レイザーラモンHG;2005年;2005-10-08;NA;NA;NA;NA;NA;NA
1;10月8日;レイザーラモンHGを惚れさせろ（前編）;岡田圭右、小林恵美、レイザーラモンHG;2005年;2005-10-08;NA;NA;NA;NA;NA;NA
2;10月15日;レイザーラモンHGを惚れさせろ（後編）;岡田圭右、今田耕司、レイザーラモンHG、大橋未歩;2005年;2005-10-15;NA;NA;NA;NA;NA;NA
2;10月15日;大橋アナにキスしてもらえ;岡田圭右、今田耕司、レイザーラモンHG、大橋未歩;2005年;2005-10-15;NA;NA;NA;NA;NA;NA
3;10月22日;みさきゆうの体を3ヶ所なめろ;出川哲朗、みさきゆう、ボビー・オロゴン;2005年;2005-10-22;NA;NA;NA;NA;NA;NA
3;10月22日;ボビー・オロゴンを泣かせろ（前編）;出川哲朗、みさきゆう、ボビー・オロゴン;2005年;2005-10-22;NA;NA;NA;NA;NA;NA
4;10月29日;ボビー・オロゴンを泣かせろ（後編）;出川哲朗、ボビー・オロゴン、蒼井そら;2005年;2005-10-29;NA;NA;NA;NA;NA;NA
4;10月29日;蒼井そらに愛のあるキスをしてもらえ;出川哲朗、ボビー・オロゴン、蒼井そら;2005年;2005-10-29;NA;NA;NA;NA;NA;NA
5;11月5日;ほしのあきの胸に顔を埋めろ;山崎邦正、出川哲朗、ほしのあき、徳光和夫;2005年;2005-11-05;NA;NA;NA;NA;NA;NA
5;11月5日;徳光和夫に阪神のハッピを着させろ（前編）;山崎邦正、出川哲朗、ほしのあき、徳光和夫;2005年;2005-11-05;NA;NA;NA;NA;NA;NA
6;11月12日;及川奈央のパンティーをもらえ;岡田圭右、出川哲朗、及川奈央、徳光和夫;2005年;2005-11-12;NA;NA;NA;NA;NA;NA
6;11月12日;徳光和夫に阪神のハッピを着させろ（後編）;岡田圭右、出川哲朗、及川奈央、徳光和夫;2005年;2005-11-12;NA;NA;NA;NA;NA;NA
7;11月19日;山上兄弟を寝かしつけろ;スピードワゴン、山崎邦正、山上兄弟、坂下千里子;2005年;2005-11-19;NA;NA;NA;NA;NA;NA
7;11月19日;坂下千里子を泣かせろ;スピードワゴン、山崎邦正、山上兄弟、坂下千里子;2005年;2005-11-19;NA;NA;NA;NA;NA;NA
