date;title;link;summary;publishdate
2020年11月17日（火） ;「アイツ語ってたよGP第2弾」＆「50PA＆50TA 生配信ライブの裏側」;https://www.tv-asahi.co.jp/londonhearts/backnumber/1737/;"
             「アイツ語ってたよGP第2弾」
恥ずかしさで赤面必至の好評企画が再び‼
‟中高生のリアルな相談に芸人が真剣に答える“という
ニセの青春番組をターゲットたちにオファー。 「ネット番組だから…」「若い人しか見てないなら…」と、
その番組の打合せやアンケートで聞かれた質問に、真剣に熱く答えた芸人たち。 しかし、それはロンハーが仕掛けた罠だった!!
もちろん、企画バレを防ぐため、第１弾の放送前にロケは敢行！！
「勉強も部活もスランプ気味、壁にぶつかった時、どう乗り越えましたか？」
「失恋から立ち直るにはどうすればいいですか？」
中高生にありがちな、日常の不安や恋愛の悩みなどの相談に対し…
「面白い事はストレスの隣にある！！」
「恋の傷はただただ時間。〇○○○が全て治してくれる！！」
と、芸人とは思えない激アツ＆キザな回答を連発(笑)
キングオブコント・チャンピオンのかまいたち山内や、
壁ナメ男・すゑひろがりず三島らは、ティーンに向けてどんな熱いメッセージを送ったのか!? 若者代表、22歳の藤田ニコルが判定員となり、誰の語りが一番響いたかグランプリを決める！！
果たして、今回のグランプリは！？
「50PA＆50TA 生配信ライブの裏側」
先日のゴールデン３時間S Pで行った「50TA vs 50PA」の新曲対決。
勝ったのは50PAだが・・・
勝者50PAと敗者50TAの生配信ライブの様子をお届け!!
約10万人がリアルタイムで参加した50PAライブは、
S Pで披露した新曲に加え、まだブレイクする前に作っていた曲も披露。 無観客ライブでありながら、大盛り上がり！！
さらに敗者50TAもなんと会場に！！
一方、敗者５０TAは前代未聞のカメラ倉庫ライブを敢行!!
1１年間で作り上げてきた数々の名曲を携え、音楽界の革命児は一体どんなステージに仕上げたのか？
ライブを見逃してしまった人も、そうでない人もみんなでチェックしよう！！
【出演者】
ロンドンブーツ1号2号／
山崎弘也(アンタッチャブル)、藤田ニコル／ 太田博久（ジャングルポケット）、品川祐(品川庄司)、三島達矢(すゑひろがりず)、宮下兼史鷹(宮下草薙)、山内健司(かまいたち) ／ 50TA(狩野英孝)、50PA(ぺこぱ)　他[50音順] 
             ";2020-11-17
2020年11月10日（火） ;格付けしあう女たち;https://www.tv-asahi.co.jp/londonhearts/backnumber/1732/;"
             女性芸能人の格付けバトルが３年ぶりに復活!!
売れっ子モデルから人気女芸人、女子アナ、元アスリートと、
多ジャンルの面々が参戦、異種格闘技戦のゴングが鳴る!! 今回のテーマは
『（20代～40代の一般男女200人に聞いた）男と付き合ったらダメになりそうな女』
男女両方に聞いているので、よりリアルに近い意見が飛び出し、
逃げ道無しのランキングに!! 発表者は、ブレイク中の女芸人、納言薄幸。
「自分がヤベェ奴っていう自覚がない」
「ロクでもないデートをして、金貢ぎそう」
やさぐれ満載の毒舌発言連発にメンバーとの火花が散る!!
意外にも初参戦のみちょぱは、親友ニコルに「×××」と暴露され、タジタジに!？
さらに、元テレビ東京の鷲見玲奈アナは、
「モノを買ってあげたり…」
など、意外な真実が明かされる!!
人気急上昇中の女芸人・ぼる塾あんりは、普段は見せない乙女な一面を❤️元なでしこJAPAN 丸山桂里奈は、新婚ホヤホヤの夫婦生活を告白!!
そして、注目の一般ランキングの発表。
「相当な額を貢ぎそうで、頼まれたら家や車も買ってあげそう」
「ボロが出た時、彼氏と大ゲンカしそう」
など厳しい意見が‼️
そんな中、屈辱のワースト１になってしまったのは一体誰だ！？
有吉やザキヤマも騒然の大荒れ格付けバトル!!
お見逃しなく!!
出演：ロンドンブーツ１号２号、有吉弘行／山崎弘也（アンタッチャブル）／
朝日奈央、あんり（ぼる塾）、重盛さと美、薄幸（納言）、鷲見玲奈、ダレノガレ明美、藤田ニコル、丸山桂里奈、みちょぱ、よしこ（ガンバレルーヤ）[50音順] 
             ";2020-11-10
2020年11月3日（火） ;『ドッキリ推理　この後、何が起こった！？』＆ 『５０TAに重大報告！！』;https://www.tv-asahi.co.jp/londonhearts/backnumber/1726/;"
             ドッキリを絡めた新企画が誕生！
ティモンディ・高岸、コロチキ・ナダル、ダイアン・津田の3名に様々なドッキリを仕掛け、ドッキリ後のリアクションや、どんな発言・行動を取ったのかをクイズ形式で出題。
解答者は、有吉、ザキヤマ、麒麟・川島、ニコルの４名。
超ポジティブなティモンディ・高岸には、巨大水風船落下とカレーうどん爆発の、リアクション系ドッキリを敢行！！ナダルには、ロンハー名物TAKE2ドッキリをお見舞い！！
どんな部分がクイズ問題となるのか、ターゲットたちもスタジオで初めて知るというドキドキシステム！！
ロンハーでは珍しいフリップ解答スタイルに、有吉、ザキヤマ、そして大喜利王・川島も、まるで学生時代の休み時間ごとく遊びたい放題！！そんな中・・・
津田のドッキリ撮影中に、ロンハー史上初となる前代未聞のリアルハプニングが！！
「ロンドンハーツ、ドッキリを２０年以上やってきて、初めてのミス！！」と淳も驚きの事態とはいったい！？
そして、先日のゴールデン３時間スペシャルで、生配信ライブをかけた50ＴＡと50ＰＡの新曲バトル。
勝った50ＰＡは、１０月２９日に生配信ライブを開催！！
一方、惜しくも負けてしまった50ＴＡだが・・・
悲しみに暮れる中、淳から重大報告が！！
果たして、その内容とは！？
音楽バトルも、まだまだ目が離せない！乞うご期待！！
【出演】ロンドンブーツ1号2号／有吉弘行 ／
川島明（麒麟）、藤田ニコル、山崎弘也（アンタッチャブル）／ 高岸宏行（ティモンディ)、津田篤宏（ダイアン）、ナダル（コロコロチキチキペッパーズ）／狩野英孝　他【50音順】 
             ";2020-11-03
2020年10月27日（火） ;YouTubeやらかしGP;https://www.tv-asahi.co.jp/londonhearts/backnumber/1722/;"
             今夜のロンハーは芸能人のやらかしYouTubeを取り締まり！
今や、数多くの人気ユーチューバーが活躍し続ける中、カジサックや本田翼など
何百万人もの登録者数を抱える芸能人がいる。 しかし、その一方で、YouTubeの人気企画に寄せたり、あの手この手で話題になろうと色々試行錯誤をするも、登録者数や再生回数に伸び悩む6名の芸能人が・・・
そんなメンバーを勝手にエントリーし、ロンハー流にエグっていく！！
コンビでも個人でも、色々な事にチャレンジするが、イマイチ再生回数の伸びない品川庄司。
元AKB48のトップ○○○○とのコラボなどで再生回数を稼ぐも、１人では全く上手くいかない元AKB48野呂佳代。
久しぶりのロンハー出演！新チャンネルで頑張ろうとする次長課長河本の、リニューアル前のチャンネルを勝手に公開！！
ノンスタ井上は、アノ大人気スターの名前を無断使用！？
フルポン村上は一同驚きの問題作！！
さらに、人気企画「香水歌ってみた」を再生回数でランキング！！
赤っ恥の再生回数ワースト1は！？
最近のYouTube事情を分かりやすく解説、そしてロンハー流のエグり方なので、YouTubeを全然知らない人でも楽しめます。お楽しみに～！！【出演】
ロンドンブーツ1号2号／藤田ニコル、山崎弘也（アンタッチャブル）／井上裕介（NONSTYLE）、河本準一（次長課長）、品川庄司、野呂佳代、村上建志（フルーツポンチ）
［50音順］ 
             ";2020-10-27
2020年10月20日（火） ;秋のゴールデン３時間SP延長戦;https://www.tv-asahi.co.jp/londonhearts/backnumber/1716/;"
             10月8日に放送した、ロンハー秋のゴールデン３時間S Pでの
50TAvs50PAの生配信ライブをかけた新曲対決。
勝ったのはぺこぱ松陰寺こと50PAで、放送後には「iTunesアルバムランキング」で一時期第１位に‼
ロンハーの歌担当もついに世代交代か？と、何かと話題沸騰となったが、
今回はその放送で入りきらなかったシーンや裏での㊙ドッキリ、
さらには、生放送後の爆笑ハプニングを一挙大公開!!
①	実は相方シュウペイにも曲を作らせていた！！
急遽打合せ室に呼び出されたシュウペイ。部屋に入ると巨大風船が投入され見る見る膨れ上がる！！
ビビリなシュウペイは、そんな中・・・
「いいじゃん　いいじゃん　何だっていいじゃん♪」
と、音楽の常識を覆す爆笑フレーズが!!
本家新曲対決の裏で、一体どんなオリジナルソングが生まれたのか！？
②	５０TAの新曲「ギリシャの女神」の誕生秘話！！
♪女神ギリシャ立ちさり　　滞在時間はあっさり
　女神ギリシャ飛びさり　　驚き我ら後ずさり
と、サビ部分にアノ元カノの名前が連呼されていた話題の新曲「ギリシャの女神」。一体、サビはどうやって出来たのか？
スペシャルでは未公開だった隠し撮りでの曲作りの続きを、余すことなく公開!!③	生放送終了後のハプニング‼
５０PAの勝利となった、横浜スタジアムでの生投票対決。
負けた５０TAは落とし穴に落下し、生放送は終了したが・・・
実は生放送終了後、とある芸人にとんでもないハプニングが!!生放送では見られなかったその一部始終を大公開！！
３時間SPを見てくれた人も、そうでない人も
十分楽しめる１時間となっているので、ぜひご覧下さい!! 出演：ロンドンブーツ1号2号／狩野英孝、ぺこぱ／
足立梨花、小宮浩信（三四郎）、藤田ニコル、みちょぱ、山崎弘也（アンタッチャブル）ほか[50音順] 
             ";2020-10-20
2020年10月8日（木） よる6時45分～（※一部地域を除く）;『女性芸能人スポーツテスト』＆『50TAに最強ライバルが登場!!』ゴールデン３時間SP;https://www.tv-asahi.co.jp/londonhearts/backnumber/1700/;"
             ①女性芸能人22名による意地とプライドをかけたスポーツバトル!!
普段スタジオでは見られない白熱の真剣勝負が繰り広げられる!!
優勝候補ニコル、みちょぱの実力派から、今回は新メンバーも多数参戦！！
元テレビ東京の鷲見玲奈アナや人気YouTuber「ヴァンゆん」からゆん、
「さんこいち」からは古川優香が参戦!! ３時のヒロインやぼる塾など女芸人も大奮闘!! ベテランからフレッシュな新メンバーまで全力投球の今年のスポーツテスト！
果たして、スポーツ女王の称号は誰の手に!?
②音楽界の革命児50TAには最強ライバルが登場！！
ライバルの名は「50PA」・・・突然のライバル出現で世代交代のピンチを迎える！！今回、その謎に包まれている「50PA」と我らが「50TA」が生配信ライブをかけて対決！！
それぞれ新曲を披露し、「どちらのライブを見たいか？」視聴者投票で決定！！
追いつめられた50TA・・・
そんな中、,隠し撮りで奇跡のメロディが舞い降り、新たな代表作誕生の予感！！「50TA」か、それとも「50PA」か・・・
ラストは生放送で勝者が決まる！！
女性芸能人スポーツテスト：田村淳(ロンドンブーツ1号2号)、有吉弘行／山崎弘也(アンタッチャブル)／青山めぐ、朝日奈央、安倍乙、池田美優、磯山さやか、稲村亜美、KAREN、熊田曜子、小島みゆ、３時のヒロイン、鈴木奈々、鷲見玲奈、西村歩乃果（ラストアイドル）、藤田ニコル、古川優香（さんこいち）、ぼる塾、ゆきぽよ、ゆん（ヴァンゆん）　[50音順]
50TAにライバルが登場!!：ロンドンブーツ1号2号／狩野英孝／安倍乙、足立梨花、池田美優、藤田ニコル、山崎弘也　 他　[50音順]
★10月6日（火）はロンハーゴールデン直前予習 これまでの『ロンハー水泳大会』を一挙公開！
             ";2020-10-08
2020年9月29日（火） ;アイツ、語ってたよGP;https://www.tv-asahi.co.jp/londonhearts/backnumber/1694/;"
             ロンハーが、恥ずかしさで赤面必至の新企画を考案‼
‟中高生のリアルな相談に芸能人が真剣に答える“という
ニセの青春番組を芸人たちにオファー。 「ネット番組だから…」「若い人たちしか見てないなら…」と、
その番組の打合せやアンケートで聞かれた質問に、真剣に熱く答えた芸人たち。 しかし、それはロンハーが仕掛けた罠だった!!
「壁にぶつかった時どう乗り越えましたか？」
「好きな子がいるのですが、話しかける事も出来ません」
中高生にありがちな、将来に対する不安や恋愛の悩みなど、マジっぽい相談に対し…
「壁と思わない事じゃない？」
「成長するには孤独が必要なんだよ、人間って」
「奥手だとか関係ない!!いくしかないよ!!」
と芸人とは思えない激アツ発言で語りまくる(笑)
ワイドショーのコメンテーターを務めるカンニング竹山&アンガ田中、
下積みを経て賞レースを勝ち取ったバイきんぐ小峠&かまいたち濱家、 事務所を辞め何かと苦労人のさらば青春の光 森田、
２年連続でM-1決勝進出、ナニワの漫才師見取り図・盛山らは、ティーンに向けてどんな熱いメッセージを送ったのか!? さらに今回は、セットの外で見学する亮くんもターゲットに!!
普段は見せない、キザに語りまくる一面を明かされ、恥ずかしさＭＡＸのターゲットたち。
若者代表、22歳の藤田ニコルが判定員となり、誰の答えが一番響いたのかグランプリを決める！！それはいったい！？
そして、今回もザキヤマが新しいオモチャで竹山濡らし！！
とばっちりで他のメンバーもズブ濡れに(笑)
出演：ロンドンブーツ1号2号／山崎弘也(アンタッチャブル)、藤田ニコル／カンニング竹山、小峠英二(バイきんぐ)、田中卓志(アンガールズ)、濱家隆一(かまいたち)、森田哲矢(さらば青春の光)、盛山晋太郎(見取り図)[50音順]
             ";2020-09-29
2020年9月22日（火） ;格付けしあう売れっ子たち;https://www.tv-asahi.co.jp/londonhearts/backnumber/1686/;"
             次回は、売れっ子芸人10名が格付けでバトル‼
注目のテーマは、“20～40 歳の一般女性 100 人に聞いた『結婚するならこの 芸人』” 
男としてはもちろん、仕事面や内面、将来性などあらゆる部分を加味したこのテーマ。
上位に選ばれれば嬉しいが、ワーストになればとんでもなくツライ‼
もちろんアンケートは、既婚者であっても、未婚の男性として判断してもらった。
果たして売れっ子たちは、世間の女性からどう思われているのか？
一般女性のリアルな意見が突き刺さる!!
今回、一般女性の回答を予想するのは、かまいたち山内。
鋭すぎる分析で、火花散るバチバチの展開に‼
格付け初参戦組は、ぺこぱ、ダイアン津田、さらば森田、すゑひろがりず三島、 パンサー尾形の6名。予想外のランキングに、メンバーもヒートアップ‼
また、シュウペイvsハマペーや、最近恒例の有吉の三島イジリ(笑)にも注目‼
さらに、あのネガティブ草薙が、想いを寄せる二コルに対し、まさかの○○○○○でスタジオ騒然!？
果たして、一般女性から、「最も結婚したい」&「最も結婚したくない」と思われている芸人は！?
スタジオ大荒れのガチランキングが決定する!!
出演:ロンドンブーツ 1 号 2 号、有吉弘行/
山崎弘也(アンタッチャブル)、藤田ニコル/ 尾形貴弘(パンサー)、狩野英孝、かまいたち、草薙航基(宮下草薙)、津田篤宏(ダイアン)、ぺこぱ、三島達矢(すゑひろがりず)、森田哲矢(さらば青春の光) [50 音順] 
             ";2020-09-22
2020年9月15日（火） ;アイツこの仕事NGだってよ!! 第２弾;https://www.tv-asahi.co.jp/londonhearts/backnumber/1677/;"
             大好評だった禁断の企画、「アイツこの仕事NGだってよ!!」が再び!!
芸人というのは、どんな仕事でも、引き受けるイメージだが、キャリアを重ねるにつれ、段々と「あれイヤ、これイヤ」と、やりたくない仕事も増えていきがち。
ましてや若手なら、どんな仕事にも挑むべき。
という事で、人気芸人たちの「実はNGにしている仕事」を隠し撮りで検証!!
そして今回の収録は、ドッキリがバレぬよう、前回のオンエア前に敢行した
「バンジーはやらない」
「肌は一切、出したくない」
「無人島ＮＧ」
ベテラン芸人のカンニング竹山から、お笑い第七世代の宮下草薙まで、出るわ出るわ、NGの嵐!!
さらに三四郎小宮の共演NG相手が、まさかのスタジオ登場でとんでもない事態に発展!!
そしてザキヤマは「NEW竹山イジリ」。
強力水鉄砲攻撃で、史上ＭＡＸのビショ濡れ状態に(笑)
【出演】ロンドンブーツ1号2号／ 山崎弘也（アンタッチャブル）、藤田ニコル／ カンニング竹山、小宮浩信（三四郎）、宮下草薙　他 

             ";2020-09-15
2020年9月8日（火） ;女性タレント取扱説明書;https://www.tv-asahi.co.jp/londonhearts/backnumber/1668/;"
             先日、男性芸人で行った人気企画を、女性版で開催!!
バラエティで活躍する人気女性タレントを陰から支える、各所属事務所のマネージャーたち。
そんなマネージャーたちは、彼女たちと仕事をする上で、 どんな風に接し、どういう事に気を使っているのか？ 
マネージャーに聞いた事前アンケートで、女性ならではの気難しさや繊細な取り扱い情報が多数明かされる!!
「収録後、必ず楽屋で反省会をする」
「どんな現場でも2時間前入りでスケジュールをやりくり」
「〇〇の仕事は向いていないので受けない」
今やテレビで見ない日は無い人気者・藤田ニコルだが、世間ではあまり知られていないモデル業での気遣いとは？
“女芸人のお局様”との呼び声も高い、オアシズ光浦のウラ操作術とは？ 
バラエティではぶっ飛びキャラの、元なでしこジャパン・丸山桂里奈や
人気急上昇の女芸人、3時のヒロインのツッコミ担当・福田の取り扱い方など、 担当マネージャーが次々と暴露!! 
淳や有吉、ザキヤマも驚きの、禁断のウラ側＆取り扱い術が明らかに‼︎
【出演】ロンドンブーツ1号2号、有吉弘行／山崎弘也(アンタッチャブル)／鈴木奈々、ダレノガレ明美、福田麻貴(3時のヒロイン)、藤田ニコル、丸山桂里奈、光浦靖子(オアシズ)、渡辺江里子（阿佐ヶ谷姉妹）[50音順]
             ";2020-09-08
